month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,Area sqft,lease_commence_date,Year,remaining_lease,resale_price,Price psf,Precint
1990-01,CLEMENTI,3 ROOM,440,CLEMENTI AVE 3,04 TO 06,69,IMPROVED,743,1983,1990,91,38500,51.82,Clementi Cascadia
1990-01,CLEMENTI,3 ROOM,509,WEST COAST DR,13 TO 15,67,NEW GENERATION,721,1978,1990,86,47000,65.19,West Coast Vista
1990-01,CLEMENTI,3 ROOM,363,CLEMENTI AVE 2,04 TO 06,67,NEW GENERATION,721,1978,1990,86,50000,69.35,Clementi Ave2
1990-01,CLEMENTI,3 ROOM,365,CLEMENTI AVE 2,07 TO 09,81,NEW GENERATION,872,1978,1990,86,57000,65.37,Clementi Ave2
1990-01,CLEMENTI,3 ROOM,365,CLEMENTI AVE 2,04 TO 06,82,NEW GENERATION,883,1978,1990,86,56000,63.42,Clementi Ave2
1990-01,CLEMENTI,3 ROOM,427,CLEMENTI AVE 3,07 TO 09,81,NEW GENERATION,872,1978,1990,86,55000,63.07,Clementi AYE
1990-01,CLEMENTI,3 ROOM,334,CLEMENTI AVE 2,04 TO 06,67,NEW GENERATION,721,1978,1990,86,40000,55.48,Clementi PeiTong
1990-01,CLEMENTI,3 ROOM,334,CLEMENTI AVE 2,07 TO 09,67,NEW GENERATION,721,1978,1990,86,46000,63.8,Clementi PeiTong
1990-01,CLEMENTI,3 ROOM,329,CLEMENTI AVE 2,04 TO 06,67,NEW GENERATION,721,1978,1990,86,49000,67.96,Clementi PeiTong
1990-01,CLEMENTI,3 ROOM,329,CLEMENTI AVE 2,04 TO 06,67,NEW GENERATION,721,1978,1990,86,45000,62.41,Clementi PeiTong
1990-01,CLEMENTI,3 ROOM,323,CLEMENTI AVE 5,10 TO 12,67,NEW GENERATION,721,1978,1990,86,41000,56.87,Clementi PeiTong
1990-01,CLEMENTI,3 ROOM,322,CLEMENTI AVE 5,04 TO 06,67,NEW GENERATION,721,1978,1990,86,42000,58.25,Clementi PeiTong
1990-01,CLEMENTI,3 ROOM,326,CLEMENTI AVE 5,04 TO 06,67,NEW GENERATION,721,1978,1990,86,55000,76.28,Clementi PeiTong
1990-01,CLEMENTI,3 ROOM,314,CLEMENTI AVE 4,10 TO 12,81,NEW GENERATION,872,1978,1990,86,56000,64.22,None
1990-01,CLEMENTI,3 ROOM,313,CLEMENTI AVE 4,10 TO 12,67,NEW GENERATION,721,1978,1990,86,47200,65.46,None
1990-01,CLEMENTI,3 ROOM,312,CLEMENTI AVE 4,07 TO 09,67,NEW GENERATION,721,1978,1990,86,47000,65.19,None
1990-01,CLEMENTI,3 ROOM,354,CLEMENTI AVE 2,01 TO 03,67,NEW GENERATION,721,1979,1990,87,40000,55.48,Clementi Ave2
1990-01,CLEMENTI,3 ROOM,435,CLEMENTI AVE 3,04 TO 06,81,NEW GENERATION,872,1978,1990,86,54000,61.93,Clementi AYE
1990-01,CLEMENTI,3 ROOM,433,CLEMENTI AVE 3,07 TO 09,81,NEW GENERATION,872,1978,1990,86,57000,65.37,Clementi AYE
1990-01,CLEMENTI,3 ROOM,506,WEST COAST DR,10 TO 12,67,NEW GENERATION,721,1978,1990,86,42000,58.25,West Coast Vista
1990-01,CLEMENTI,3 ROOM,508,WEST COAST DR,13 TO 15,67,NEW GENERATION,721,1978,1990,86,36000,49.93,West Coast Vista
1990-01,CLEMENTI,3 ROOM,401,CLEMENTI AVE 1,04 TO 06,67,NEW GENERATION,721,1978,1990,86,50000,69.35,None
1990-01,CLEMENTI,3 ROOM,320,CLEMENTI AVE 4,07 TO 09,67,NEW GENERATION,721,1979,1990,87,46000,63.8,Clementi Meadows
1990-01,CLEMENTI,3 ROOM,310,CLEMENTI AVE 4,04 TO 06,67,NEW GENERATION,721,1980,1990,88,47000,65.19,Clementi Meadows
1990-01,CLEMENTI,3 ROOM,309,CLEMENTI AVE 4,10 TO 12,67,NEW GENERATION,721,1980,1990,88,34000,47.16,Clementi Meadows
1990-01,CLEMENTI,3 ROOM,309,CLEMENTI AVE 4,04 TO 06,82,NEW GENERATION,883,1980,1990,88,57000,64.55,Clementi Meadows
1990-01,CLEMENTI,3 ROOM,307,CLEMENTI AVE 4,01 TO 03,67,NEW GENERATION,721,1979,1990,87,47000,65.19,Clementi Meadows
