housing_type,address,postal_code,area_sqm,area_sqft,transaction_price,sale_date,latitude,longitude,town,flat_type,flat_model,storey_range,lease_commence_date,lease_remaining
hdb,318 HOUGANG AVE 5,530318,67,721,266000,01/01/21,1.36566500436968,103.896203079845,HOUGANG,3 ROOM,New Gen,04 TO 06,1982,61 years
hdb,620 HOUGANG AVE 8,530620,69,743,305000,01/01/21,1.37014400655511,103.883968140531,HOUGANG,3 ROOM,Improved,04 TO 06,1985,63 years 08 months
hdb,672B EDGEFIELD PLAINS,822672,65,700,340000,01/01/21,1.40665275009359,103.912312507427,PUNGGOL,3 ROOM,Model A,04 TO 06,2015,94 years
hdb,210A PUNGGOL PL,821210,67,721,370000,01/01/21,1.40006828077947,103.900399322855,PUNGGOL,3 ROOM,Model A,10 TO 12,2014,93 years
hdb,614A EDGEFIELD PLAINS,821614,92,990,480000,01/01/21,1.40358421163654,103.909264059421,PUNGGOL,4 ROOM,Model A,16 TO 18,2012,90 years 11 months
hdb,618D PUNGGOL DR,824618,93,1001,450000,01/01/21,1.40184131856724,103.911466174025,PUNGGOL,4 ROOM,Premium,10 TO 12,2013,91 years 08 months
hdb,316C PUNGGOL WAY,823316,93,1001,488000,01/01/21,1.40897577474179,103.897024808292,PUNGGOL,4 ROOM,Premium,01 TO 03,2017,95 years 09 months
hdb,109A EDGEDALE PLAINS,821109,110,1184,442000,01/01/21,1.39472186392182,103.909873807721,PUNGGOL,5 ROOM,Improved,16 TO 18,2003,81 years 04 months
hdb,266A PUNGGOL WAY,821266,112,1206,660000,01/01/21,1.40596071590596,103.897970713861,PUNGGOL,5 ROOM,Improved,16 TO 18,2015,93 years 05 months
hdb,332A ANCHORVALE LINK,541332,92,990,488000,01/01/21,1.39532164438576,103.891136801306,SENGKANG,4 ROOM,Model A,16 TO 18,2015,93 years 06 months
hdb,303B ANCHORVALE LINK,542303,88,947,385000,01/01/21,1.38742376759555,103.889848758134,SENGKANG,4 ROOM,Model A2,01 TO 03,2001,79 years 07 months
hdb,216B COMPASSVALE DR,542216,92,990,603000,01/01/21,1.39051439660212,103.893670671714,SENGKANG,4 ROOM,Premium,13 TO 15,2017,95 years 05 months
hdb,441D FERNVALE RD,794441,94,1012,478000,01/01/21,1.39209223539634,103.875248015844,SENGKANG,4 ROOM,Model A,22 TO 24,2012,90 years 01 month
hdb,282A SENGKANG EAST AVE,541282,92,990,590000,01/01/21,1.38528977819863,103.891907359174,SENGKANG,4 ROOM,Premium,10 TO 12,2015,93 years 07 months
hdb,452B SENGKANG WEST WAY,792452,92,990,440000,01/01/21,1.39359219975013,103.873975642577,SENGKANG,4 ROOM,Model A,10 TO 12,2015,93 years 05 months
hdb,320D ANCHORVALE DR,544320,110,1184,546000,01/01/21,1.3909522124166,103.891815990371,SENGKANG,5 ROOM,Improved,13 TO 15,2002,80 years 08 months
hdb,314B ANCHORVALE LINK,542314,110,1184,470000,01/01/21,1.39104986151368,103.888846713825,SENGKANG,5 ROOM,Premium,07 TO 09,2003,81 years 09 months
hdb,333A ANCHORVALE LINK,541333,112,1206,635000,01/01/21,1.39468433299358,103.89086832093,SENGKANG,5 ROOM,Improved,07 TO 09,2015,93 years 06 months
hdb,314C ANCHORVALE LINK,543314,110,1184,490000,01/01/21,1.39146759994419,103.888964274249,SENGKANG,5 ROOM,Premium,13 TO 15,2003,81 years 05 months
hdb,317B ANCHORVALE RD,542317,110,1184,490000,01/01/21,1.39386232204763,103.888540263546,SENGKANG,5 ROOM,Premium,13 TO 15,2003,81 years 05 months
hdb,293C COMPASSVALE CRES,543293,113,1216,610888,01/01/21,1.3971032927954,103.895714685196,SENGKANG,5 ROOM,Improved,10 TO 12,2016,94 years 11 months
hdb,258D COMPASSVALE RD,544258,110,1184,505000,01/01/21,1.39350458923458,103.897097233364,SENGKANG,5 ROOM,Improved,13 TO 15,2001,79 years 03 months
hdb,413A FERNVALE LINK,791413,114,1227,490000,01/01/21,1.38930680618339,103.878729319261,SENGKANG,5 ROOM,Premium,07 TO 09,2004,82 years 03 months
hdb,6 LOR LEW LIAN,531006,97,1044,458000,01/01/21,1.34943810795907,103.877326449295,SERANGOON,4 ROOM,New Gen,04 TO 06,1978,56 years 05 months
hdb,617 HOUGANG AVE 8,530617,104,1119,430000,01/02/21,1.36929789238532,103.883826832418,HOUGANG,4 ROOM,Model A,10 TO 12,1986,64 years
hdb,690 HOUGANG ST 61,530690,84,904,360000,01/02/21,1.37693205727032,103.885697042104,HOUGANG,4 ROOM,Simplified,10 TO 12,1987,65 years 09 months
hdb,137 LOR AH SOO,530137,104,1119,381000,01/02/21,1.34905321621758,103.88664017294,HOUGANG,4 ROOM,Model A,04 TO 06,1985,63 years 03 months
hdb,981C BUANGKOK CRES,533981,110,1184,428000,01/02/21,1.38044801592329,103.879579342737,HOUGANG,5 ROOM,Improved,01 TO 03,2003,81 years 05 months
hdb,477B UPP SERANGOON VIEW,532477,112,1206,708000,01/02/21,1.37881205219674,103.904229621367,HOUGANG,5 ROOM,Premium,04 TO 06,2016,94 years 02 months
hdb,310B PUNGGOL WALK,822310,67,721,410000,01/02/21,1.40932267495626,103.900801836373,PUNGGOL,3 ROOM,Premium,10 TO 12,2016,94 years 05 months
