housing_type,project_name,address,postal_code,area_sqm,transaction_price,sale_date,latitude,longitude
private,RIVERFRONT RESIDENCES,49 HOUGANG AVENUE 7 #14-48,533817,81,1173000,03/01/21,1.371738,103.8997062
private,RIVERPARC RESIDENCE,98 PUNGGOL DRIVE #07-18,828798,92,876000,04/01/21,1.397678,103.9175556
private,OLA,84 ANCHORVALE CRESCENT #06-30,544560,93,1194000,07/01/21,1.397193,103.8920284
private,JEWEL @ BUANGKOK,81 COMPASSVALE BOW #03-03,544823,105,1390000,07/01/21,1.381284,103.8920047
private,WATERWOODS,15 PUNGGOL FIELD WALK #05-04,828746,75,775000,07/01/21,1.390928,103.9121653
private,THE GARDEN RESIDENCES,5 SERANGOON NORTH VIEW #04-27,554345,143,2229600,10/01/21,1.365696,103.8705491
private,KOVAN RESIDENCES,7 KOVAN ROAD #08-28,544896,173,2180000,12/01/21,1.360939,103.8843743
private,SENGKANG GRAND RESIDENCES,76 COMPASSVALE BOW #10-22,544568,87,1580400,13/01/21,1.382989,103.8918493
private,SENGKANG GRAND RESIDENCES,80 COMPASSVALE BOW #13-40,544570,44,907200,13/01/21,1.383979,103.8921891
private,BOTANIQUE AT BARTLEY,237 UPPER PAYA LEBAR ROAD #11-45,533867,48,805000,15/01/21,1.342165,103.8821299
private,AFFINITY AT SERANGOON,30 SERANGOON NORTH AVENUE 1 #12-67,554342,58,1096000,15/01/21,1.366295,103.8744808
private,THE FLORENCE RESIDENCES,83 HOUGANG AVENUE 2 #13-13,538860,62,1099000,17/01/21,1.366818,103.8870013
private,RIVERSAILS,2 UPPER SERANGOON CRESCENT #12-01,534035,48,608000,19/01/21,1.37812,103.9022963
private,THE FLORENCE RESIDENCES,85 HOUGANG AVENUE 2 #02-26,538861,49,836112,23/01/21,1.366404,103.8869283
private,RIVERFRONT RESIDENCES,43 HOUGANG AVENUE 7 #15-18,533814,85,1276112,25/01/21,1.370512,103.8996461
private,MINT RESIDENCES @ JANSEN,20 JANSEN ROAD #03-04,548411,67,820000,26/01/21,1.359867,103.8774231
private,RIVERFRONT RESIDENCES,43 HOUGANG AVENUE 7 #04-19,533814,85,1201112,27/01/21,1.370512,103.8996461
private,MIDTOWN RESIDENCES,1189 UPPER SERANGOON ROAD #11-12,534785,82,990000,28/01/21,1.370735,103.8951208
private,PARK GREEN,12 RIVERVALE LINK #13-21,545045,129,1100000,28/01/21,1.381216,103.9001665
private,THE SCALA,136 SERANGOON AVENUE 3 #15-19,554476,83,1320000,28/01/21,1.351406,103.8654052
private,THE SPRINGBLOOM,143 SERANGOON AVENUE 3 #09-04,556121,105,1170000,28/01/21,1.351003,103.8634346
private,RIVERFRONT RESIDENCES,43 HOUGANG AVENUE 7 #16-18,533814,85,1283112,01/02/21,1.370512,103.8996461
private,BOATHOUSE RESIDENCES,23 UPPER SERANGOON VIEW #09-04,534047,68,802000,01/02/21,1.376011,103.9024274
private,BOATHOUSE RESIDENCES,33 UPPER SERANGOON VIEW #02-30,534042,58,660000,03/02/21,1.375578,103.9033168
private,SUNGLADE,9 SERANGOON AVENUE 2 #10-30,556134,97,1250000,03/02/21,1.348829,103.8705332
private,NOVELTY TECHPOINT,27 NEW INDUSTRIAL ROAD #07-04,536212,273,1677628,04/02/21,1.344042,103.8854644
private,STARS OF KOVAN,986 UPPER SERANGOON ROAD #06-26,534732,69,1185000,05/02/21,1.361606,103.8874628
private,RIVERFRONT RESIDENCES,45 HOUGANG AVENUE 7 #17-32,533815,120,1566112,09/02/21,1.370889,103.8996452
private,WATERBAY,47A EDGEFIELD PLAINS #12-17,828714,102,1045000,10/02/21,1.401272,103.9077648
private,RIVERFRONT RESIDENCES,43 HOUGANG AVENUE 7 #11-19,533814,85,1248000,15/02/21,1.370512,103.8996461
private,CHERRYHILL,27 LORONG LEW LIAN #01-07,536470,111,1310000,15/02/21,1.35069,103.8784627
