project_name,address,postal_code,postal_district,num_of_units,area_sqm,area_sqft,area_type,transaction_price_dollars,nett_price_dollars,unit_price_psm_dollars,unit_price_psf_dollars,sale_date,property_type,property_tenure,completion_top_date,sale_type,purchaser_address_indicator
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #05-08,319773,12,1,138,1485.43,Strata,2245000,-,16268,1511,04/10/2021,Condominium,Freehold,2000,Resale,Private
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #22-01,319773,12,1,138,1485.43,Strata,2380000,-,17246,1602,28/06/2021,Condominium,Freehold,2000,Resale,Private
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #06-09,319773,12,1,138,1485.43,Strata,2118000,-,15348,1426,01/04/2021,Condominium,Freehold,2000,Resale,Private
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #23-08,319773,12,1,138,1485.43,Strata,2235000,-,16196,1505,15/03/2021,Condominium,Freehold,2000,Resale,Private
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #08-12,319773,12,1,51,548.96,Strata,840000,-,16471,1530,05/02/2021,Condominium,Freehold,2000,Resale,HDB
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #24-03,319773,12,1,106,1140.98,Strata,1650000,-,15566,1446,04/12/2020,Condominium,Freehold,2000,Resale,HDB
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #08-08,319773,12,1,138,1485.43,Strata,2138000,-,15493,1439,27/11/2020,Condominium,Freehold,2000,Resale,Private
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #15-04,319773,12,1,66,710.42,Strata,1088000,-,16485,1531,14/10/2020,Condominium,Freehold,2000,Resale,Private
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #23-09,319773,12,1,138,1485.43,Strata,2240000,-,16232,1508,29/09/2020,Condominium,Freehold,2000,Resale,Private
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #08-02,319773,12,1,153,1646.89,Strata,2220000,-,14510,1348,12/08/2020,Condominium,Freehold,2000,Resale,HDB
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #12-15,319773,12,1,153,1646.89,Strata,2380000,-,15556,1445,14/02/2020,Condominium,Freehold,2000,Resale,HDB
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #23-12,319773,12,1,51,548.96,Strata,850000,-,16667,1548,13/11/2019,Condominium,Freehold,2000,Resale,Private
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #07-13,319773,12,1,66,710.42,Strata,1050000,-,15909,1478,08/11/2019,Condominium,Freehold,2000,Resale,Private
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #09-03,319773,12,1,106,1140.98,Strata,1643000,-,15500,1440,13/09/2019,Condominium,Freehold,2000,Resale,Private
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #15-16,319773,12,1,138,1485.43,Strata,2188000,-,15855,1473,15/08/2019,Condominium,Freehold,2000,Resale,Private
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #12-05,319773,12,1,51,548.96,Strata,810000,-,15882,1476,14/08/2019,Condominium,Freehold,2000,Resale,HDB
