project_name,address,postal_code,postal_district,num_of_units,area_sqm,area_sqft,area_type,transaction_price_dollars,nett_price_dollars,unit_price_psm_dollars,unit_price_psf_dollars,sale_date,property_type,property_tenure,completion_top_date,sale_type,purchaser_address_indicator
ZENITH,60 ZION ROAD #13-05,247785,10,1,228,2454.19,Strata,2950000,-,12939,1202,23/12/2021,Apartment,999 yrs from 21/06/1877,2011,Resale,Private
ZENITH,60 ZION ROAD #05-05,247785,10,1,52,559.73,Strata,1150000,-,22115,2055,03/12/2021,Apartment,999 yrs from 21/06/1877,2011,Resale,Private
ZENITH,60 ZION ROAD #03-01,247785,10,1,55,592.02,Strata,1080000,-,19636,1824,03/12/2021,Apartment,999 yrs from 21/06/1877,2011,Resale,Private
ZENITH,60 ZION ROAD #03-08,247785,10,1,44,473.62,Strata,910000,-,20682,1921,30/09/2021,Apartment,999 yrs from 21/06/1877,2011,Resale,HDB
ZENITH,60 ZION ROAD #11-07,247785,10,1,105,1130.22,Strata,1680000,-,16000,1486,19/03/2021,Apartment,999 yrs from 21/06/1877,2011,Resale,Private
ZENITH,60 ZION ROAD #09-03,247785,10,1,69,742.72,Strata,1400000,-,20290,1885,18/02/2021,Apartment,999 yrs from 21/06/1877,2011,Resale,HDB
ZENITH,60 ZION ROAD #03-07,247785,10,1,105,1130.22,Strata,1670000,-,15905,1478,03/12/2020,Apartment,999 yrs from 21/06/1877,2011,Resale,HDB
ZENITH,60 ZION ROAD #06-06,247785,10,1,69,742.72,Strata,1420000,-,20580,1912,08/10/2020,Apartment,999 yrs from 21/06/1877,2011,Resale,Private
ZENITH,60 ZION ROAD #02-02,247785,10,1,72,775.01,Strata,1310000,-,18194,1690,31/08/2020,Apartment,999 yrs from 21/06/1877,2011,Resale,HDB
ZENITH,60 ZION ROAD #10-07,247785,10,1,105,1130.22,Strata,1800000,-,17143,1593,05/08/2020,Apartment,999 yrs from 21/06/1877,2011,Resale,HDB
ZENITH,60 ZION ROAD #05-06,247785,10,1,69,742.72,Strata,1388000,-,20116,1869,23/06/2020,Apartment,999 yrs from 21/06/1877,2011,Resale,HDB
ZENITH,60 ZION ROAD #06-02,247785,10,1,72,775.01,Strata,1435000,-,19931,1852,15/06/2020,Apartment,999 yrs from 21/06/1877,2011,Resale,Private
